episode,reward,dist,pose,fuel_bonus,landing_bonus,crash_penalty,fuel_left,step,landed,crashed
102,0.0,0.05036478191064456,-0.18236550320940959,0.0,0.0,0.0,84.47690749273602,712,False,True
103,0.0,0.060583905230269144,-0.24222736207004605,0.0,0.0,0.0,85.90118696578244,668,False,True
104,0.0,0.06908493515311204,-0.06037888854588019,0.0,0.0,0.0,84.27187624282341,782,False,True
105,0.0,0.06459731647346492,-0.08800464977150846,0.0,0.0,0.0,84.7301250651485,692,False,True
106,0.0,0.05628359015073439,-0.16022349548851658,0.0,0.0,0.0,84.67353653193426,707,False,True
107,0.06870417996475771,0.04354647814353213,0.025157701821225578,0.0,0.0,0.0,85.95256465224011,651,False,True
108,0.0,0.0628863913808183,-0.09258807539503949,0.0,0.0,0.0,84.95399595566006,706,False,True
109,0.05457287535256793,0.04745155183217782,0.007121323520390111,0.0,0.0,0.0,85.06486227373681,701,False,True
110,0.0,0.04729480903653598,-0.02616401685254375,0.0,0.0,0.0,84.88434029095663,716,False,True
111,0.0,0.04657477194977005,-0.04957608411927881,0.0,0.0,0.0,83.29033435246619,780,False,True
112,0.0,0.05441309166287073,-0.22920728154997386,0.0,0.0,0.0,86.04833237118139,681,False,True
113,0.0,0.0540053306385459,-0.0971639007813358,0.0,0.0,0.0,86.60592725952037,618,False,True
114,0.0,0.06920223125907592,-0.2377503893343647,0.0,0.0,0.0,83.37877909941271,758,False,True
115,0.0,0.06149161984493432,-0.04617285586894984,0.0,0.0,0.0,86.26795421400827,644,False,True
116,0.0,0.06598825404249076,-0.009951135652821597,0.0,0.0,0.0,85.1084155716544,680,False,True
117,0.0,0.06193695679844438,-0.07026721673401248,0.0,0.0,0.0,83.82423956834901,726,False,True
118,0.0,0.06439584721784872,-0.07665828638213178,0.0,0.0,0.0,83.31045441954011,800,False,True
119,0.0,0.04564535684608493,-0.004879135193415674,0.0,0.0,0.0,83.68726949028998,760,False,True
120,0.0,0.052800677876451874,-0.27936140866366993,0.0,0.0,0.0,85.54948789606559,665,False,True
121,0.06611399201198431,0.04564181191761835,0.020472180094365966,0.0,0.0,0.0,86.34202565936167,641,False,True
122,0.1455739394055231,0.04557393940552308,0.1,0.0,0.0,0.0,85.64688250423676,678,False,True
123,0.16094620282445884,0.06094620282445884,0.1,0.0,0.0,0.0,83.24443591672251,800,False,False
124,0.0,0.06118001077938913,-0.10201093998802674,0.0,0.0,0.0,83.03303724941857,800,False,False
125,0.0,0.04789736702080898,-0.06964300327534649,0.0,0.0,0.0,83.44369014393591,751,False,True
126,0.0,0.05898186483451541,-0.08127387316304534,0.0,0.0,0.0,84.46176345982707,722,False,True
127,0.0,0.05600631122249278,-0.056822271237999544,0.0,0.0,0.0,83.76118985335977,719,False,True
128,0.0,0.05461427627099005,-0.21072013019655148,0.0,0.0,0.0,86.5446047874442,622,False,True
129,0.0,0.06573506850947074,-0.28708176832001947,0.0,0.0,0.0,85.11934436316658,670,False,True
130,0.0,0.05540299022854922,-0.19588159047215328,0.0,0.0,0.0,85.11027987273604,668,False,True
131,0.13033662827784465,0.06746962330935571,0.06286700496848892,0.0,0.0,0.0,84.53384647520471,718,False,True
132,0.0,0.05111688382186065,-0.20196608964710974,0.0,0.0,0.0,85.13497373176901,689,False,True
133,0.0,0.05249671250386037,-0.19453748986526806,0.0,0.0,0.0,86.33290570914926,639,False,True
134,0.0,0.06600193888721066,-0.10036511917215166,0.0,0.0,0.0,83.12306160590624,800,False,False
135,0.0,0.055856266059211096,-0.1681303050881338,0.0,0.0,0.0,85.70663505540337,634,False,True
136,0.0,0.07146269510461277,-0.016458653899266287,0.0,0.0,0.0,82.44202624543603,800,False,False
137,0.0,0.055809958746392344,-0.15515875845571692,0.0,0.0,0.0,83.74793369019935,742,False,True
138,0.14462708709218589,0.04462708709218588,0.1,0.0,0.0,0.0,86.45402629825655,622,False,True
139,0.0,0.052333316125935815,-0.1629784722856197,0.0,0.0,0.0,85.34588935921094,681,False,True
140,0.0,0.053086813378425114,-0.22407792272150384,0.0,0.0,0.0,84.14720689462953,733,False,True
141,0.1481078890702709,0.04810788907027089,0.1,0.0,0.0,0.0,83.4605360360754,737,False,True
142,0.0,0.0691911027943084,-0.40133582461909,0.0,0.0,0.0,84.16921742866272,704,False,True
143,0.0,0.04846895987001441,-0.21128951560462636,0.0,0.0,0.0,85.11848702704236,656,False,True
144,0.12371035030421398,0.06023960574700387,0.06347074455721012,0.0,0.0,0.0,85.7116365970694,663,False,True
145,0.0,0.06251510543104803,-0.35572358420498057,0.0,0.0,0.0,84.9483322721612,685,False,True
146,0.0,0.05312918874771956,-0.151803723507286,0.0,0.0,0.0,82.55233345416933,778,False,True
147,0.0,0.057745885342068426,-0.07094152775266774,0.0,0.0,0.0,85.27508798616384,639,False,True
148,0.04522707739515719,0.045109212445724314,0.00011786494943287762,0.0,0.0,0.0,84.91842321537702,687,False,True
149,0.0,0.05982039551343792,-0.06617463776385993,0.0,0.0,0.0,82.96281629184703,800,False,False
150,0.12925464192175817,0.06497911810195638,0.06427552381980178,0.0,0.0,0.0,83.11329999188355,800,False,False
151,0.0,0.06503624594283205,-0.06145948556505072,0.0,0.0,0.0,85.13020718554637,722,False,True
152,0.0,0.06429923342316894,-0.26076319459416414,0.0,0.0,0.0,85.49965564601284,670,False,True
153,0.0,0.06792198183125368,-0.2638217773596843,0.0,0.0,0.0,83.59176029328025,743,False,True
154,0.0,0.053557817449518076,-0.16957693055645826,0.0,0.0,0.0,83.77614640657947,760,False,True
155,0.12535420730932967,0.06291525285879399,0.06243895445053567,0.0,0.0,0.0,83.96666171521883,740,False,True
156,0.0,0.056019196714192115,-0.257907071120964,0.0,0.0,0.0,86.9826579963375,599,False,True
157,0.0,0.05573710351783963,-0.0022210738642727047,0.0,0.0,0.0,85.67952831191539,671,False,True
158,0.12306846302213541,0.059041373780350195,0.06402708924178521,0.0,0.0,0.0,83.56192800231352,766,False,True
159,0.0,0.06767480643750177,-0.31460814381364827,0.0,0.0,0.0,85.29139470800231,695,False,True
160,0.0,0.06893266527225499,-0.17249584066334359,0.0,0.0,0.0,83.4290409039218,791,False,True
161,0.07655412699547263,0.06835495187761494,0.008199175117857704,0.0,0.0,0.0,84.93628910595582,720,False,True
